osm_id,name,description,category,amenity_type,access,capacity,rating,latitude,longitude
n6129553174,Dunkin',,fast_food,fast_food,,,,38.8802726,-77.1727977
n6129585088,McDonald's,,fast_food,fast_food,,,,38.8632091,-77.0608992
n6129585089,Villa Pizza,,fast_food,fast_food,,,,38.8634326,-77.060624
n6129585090,Chipotle,,fast_food,fast_food,,,,38.8634911,-77.060608
n6129585091,Auntie Anne's,,fast_food,fast_food,,,,38.8629189,-77.0607555
n6135968686,Shinwari,,restaurant,restaurant,,,,38.8703404,-77.173307
n6138121564,Radio VN Hai Ngoai,,studio,studio,,,,38.8703778,-77.1674318
n6138129062,Pine Dentistry & Braces,,dentist,dentist,,,,38.8701752,-77.1687001
n6139435208,Dippin' Dots,,ice_cream,ice_cream,,,,38.8634148,-77.0608802
n6139435229,Panda Tea House,,cafe,cafe,,,,38.862971,-77.0612356
n6139435231,Capital One,,atm,atm,,,,38.8630149,-77.0613617
n6139435233,Panera Bread,,fast_food,fast_food,,,,38.863197,-77.061139
n6139435234,Popeyes,,fast_food,fast_food,,,,38.8631987,-77.0610087
n6139435236,Subway,,fast_food,fast_food,,,,38.863278,-77.0607072
n6139435239,Starbucks,,cafe,cafe,,,,38.863131,-77.0606219
n6141050590,Wells Fargo,,bank,bank,,,,38.8910558,-77.0870884
n6141051000,Verre,,cafe,cafe,,,,38.8909313,-77.0876884
n6141051174,BB&T,,atm,atm,,,,38.8880315,-77.0945234
n6141051175,Hyatt,,bar,bar,,,,38.8909761,-77.0875363
n6141052646,Caring Hands,,veterinary,veterinary,,,,38.8902391,-77.0898826
n6141053686,Hanabi Ramen,,restaurant,restaurant,,,,38.8874912,-77.0947446
n6141419229,BiBiMix,,restaurant,restaurant,,,,38.8927616,-77.0809642
n6150289408,Blink,,charging_station,charging_station,,1.0,,38.8729534,-77.2304684
n6150289409,Blink,,charging_station,charging_station,,1.0,,38.8729321,-77.2304755
n6150289410,Blink,,charging_station,charging_station,,1.0,,38.8733359,-77.2311064
n6150289411,Blink,,charging_station,charging_station,,1.0,,38.8733003,-77.2311836
n6150676695,Bike and Roll,,bicycle_rental,bicycle_rental,,,,38.8039144,-77.0399673
n6151900185,Oasis Pharmacy,"Languages spoken: Spanish, Arabic, Farsi",pharmacy,pharmacy,,,,38.8704319,-77.1556245
n6152618554,Starbucks,,cafe,cafe,yes,,,38.8822969,-77.1164421
n6152827616,Subway,,fast_food,fast_food,,,,38.8801361,-77.1728032
n6154374634,Eat Cafe & Bites,,restaurant,restaurant,,,,38.8822808,-77.1169616
n6154830513,Raouche Mediterranean Cuisine,,restaurant,restaurant,,,,38.8737425,-77.2254626
n6154830514,Super Grill Pollo,,restaurant,restaurant,,,,38.873702,-77.225661
n6157510765,Miu Kee,,restaurant,restaurant,,,,38.8689775,-77.1734623
n6157510768,Boba with Mi,,cafe,cafe,,,,38.8690073,-77.1732666
n6157519258,Present Restaurant,,restaurant,restaurant,,,,38.870213,-77.1753491
n6157540420,7 Corners Pharmacy,,pharmacy,pharmacy,,,,38.8709322,-77.1571466
n6157540421,Fairfax Inn Restaurant,,restaurant,restaurant,,,,38.8710264,-77.1573525
n6160467141,Carpool,,restaurant,restaurant,,,,38.8807085,-77.1154646
n6162126798,Bep Viet Vietnamese Cuisine,,restaurant,restaurant,,,,38.868045,-77.1753495
n6162126802,Healthy Smiles Dental,Appointments can be made online.,dentist,dentist,,,,38.8683391,-77.175358
n6162126804,Spin Pollo Peruvian Charcoal Chicken,,restaurant,restaurant,,,,38.8703346,-77.175156
n6162126806,JV's Restaurant,"Live music. ""Ageless charm without yuppie bastardization."" Established 1947. Happy hour Fr 18:00-20:00.",restaurant,restaurant,,,,38.8703672,-77.1749833
n6162166597,La Llajta Bar & Grill,,restaurant,restaurant,,,,38.8693306,-77.1726171
n6162225178,Capital Area Pediatrics-Sleepy Hollow,,clinic,clinic,,,,38.8698389,-77.1705805
n6162225179,Advantage Physical Therapy,,clinic,clinic,,,,38.869864,-77.1704544
n6162225180,Advance / Top Orthodontics,,dentist,dentist,,,,38.8698807,-77.1703391
n6164709012,First Citizens Bank,,bank,bank,,,,38.8815228,-77.1159707
n6164709020,"Arlington Advanced Dental Care,Dr.Hossein Ahmadian,DDS",,dentist,dentist,,,,38.8834553,-77.1169277
n6168666709,Xcel Urgent Care,,clinic,clinic,,,,38.8479852,-77.1174512
n6168666712,Wingstop,,fast_food,fast_food,,,,38.8478505,-77.1174749
n6168666715,DQ Grill & Chill,,fast_food,fast_food,,,,38.8476649,-77.1175101
n6168666716,Subway,,fast_food,fast_food,,,,38.847604,-77.1175222
n6168666717,Z Kabob,,restaurant,restaurant,,,,38.8475516,-77.117531
n6168666718,U.S. Tae Kwon Do College,,dojo,dojo,,,,38.8474623,-77.1176264
n6171696809,The George Washington University - Arlington Education Center,,university,university,,,,38.8813333,-77.1159137
n6171696817,Gute Leute,,cafe,cafe,,,,38.8802229,-77.1147028
n6171696819,Citizens Bank,,bank,bank,,,,38.8803904,-77.1150206
n6173255291,Mason's Famous Lobster Rolls,,fast_food,fast_food,,,,38.9577919,-77.3595657
n6186964520,Urgent Vet,non-emergency veterinary medical service outside normal business hours,veterinary,veterinary,,,,38.8690053,-77.1438599
n6190897817,Courthouse Art of Dentistry,,dentist,dentist,,,,38.889603,-77.0866417
n6190897818,bb.q Chicken,,restaurant,restaurant,,,,38.8944504,-77.1919126
n6190897820,Falls Church Animal Hospital,,veterinary,veterinary,,,,38.8941757,-77.1902298
n6190898752,Kumon,After school math and reading lessons.,prep_school,prep_school,,,,38.8947857,-77.191608
n6190898753,Jimmy John's,,fast_food,fast_food,,,,38.8949545,-77.1921681
n6195111706,Robert H. Dewitt Center for Cosmetic and General Dentistry,,dentist,dentist,,,,38.914966,-77.2318821
n6197821592,Ximena Skin Care Clinic,,clinic,clinic,,,,38.9059036,-77.2227687
n6213546872,Iglisia Evangelic Apostoles Y Profetas Vida Eterna,,place_of_worship,place_of_worship,,,,38.6620905,-77.2549165
n6213546873,Faith International Church,,place_of_worship,place_of_worship,,,,38.6621387,-77.254813
n6226211833,Urbano 116,,restaurant,restaurant,,,,38.8041982,-77.040895
n6245631068,Punch Bowl Social,,restaurant,restaurant,,,,38.879306,-77.109982
n6247241310,Shake Shack,,fast_food,fast_food,,,,38.88024,-77.11074
n6247246980,Mike's,,cafe,cafe,,,,38.8808611,-77.1118289
n6248117093,Little Caesars,,fast_food,fast_food,,,,38.686708,-77.311825
n6254193266,Regus,,coworking_space,coworking_space,,,,38.8818593,-77.1123033
n6254195317,Industrious,,coworking_space,coworking_space,,,,38.8807219,-77.1111303
n6255933928,Tech Space,,coworking_space,coworking_space,,,,38.8802441,-77.1086986
n6268414537,Westover Library / Washington Blvd & N McKinley Rd,,bicycle_rental,bicycle_rental,,15.0,,38.8860211,-77.1422584
n6268414538,Washington Blvd & N Frederick St,,bicycle_rental,bicycle_rental,,11.0,,38.8848309,-77.127696
n6268916285,Peking Pavilion,,restaurant,restaurant,,,,38.8995075,-77.1571428
n6268916301,Haute Dog,,fast_food,fast_food,,,,38.8994582,-77.1571541
n6268917001,Deli Italiano,,fast_food,fast_food,,,,38.8992799,-77.1573956
n6269020286,Atlas Brew Works,,pub,pub,,,,38.8502737,-77.0413625
n6269788359,Peter Chang,,restaurant,restaurant,,,,38.8977392,-77.1389417
n6269788361,Iverson Orthodontics,,dentist,dentist,,,,38.8964682,-77.1385666
n6269788362,Khun Yai Thai,,restaurant,restaurant,,,,38.897747,-77.1395023
n6280837240,Yume Sushi,,restaurant,restaurant,,,,38.886444,-77.162285
n6281378373,Blue Ocean Japanese Restaurant,,restaurant,restaurant,,,,38.84233,-77.2702335
n6285397676,Sunset Hills and Old Reston Ave,,bicycle_rental,bicycle_rental,,15.0,,38.9550531,-77.3515876
n6285397681,Westpark and Park Run Dr,,bicycle_rental,bicycle_rental,,11.0,,38.9288754,-77.2251907
n6285397682,Jones Branch and Westbranch Dr,,bicycle_rental,bicycle_rental,,11.0,,38.9319188,-77.2192634
n6285397683,Westpark and Jones Branch Dr,,bicycle_rental,bicycle_rental,,11.0,,38.9243154,-77.2175973
n6285397684,Tysons Metro Station,,bicycle_rental,bicycle_rental,,10.0,,38.9209468,-77.2221174
n6285398185,Tysons One Pl and Chain Bridge Rd,,bicycle_rental,bicycle_rental,,11.0,,38.9194828,-77.2211814
n6285398186,Westpark Dr and Leesburg Pike,,bicycle_rental,bicycle_rental,,11.0,,38.9240378,-77.2359574
n6285398187,Spring Hill Metro,,bicycle_rental,bicycle_rental,,15.0,,38.9293214,-77.2409411
n6285398192,Powhatan St and Bashford Ln,,bicycle_rental,bicycle_rental,,12.0,,38.8187558,-77.0477853
n6285398193,Lee Center,,bicycle_rental,bicycle_rental,,15.0,,38.7975648,-77.0537683
n6285398195,Franklin and S Washington St,,bicycle_rental,bicycle_rental,,19.0,,38.7981408,-77.0487023
n6285398197,Commonwealth Ave and Oak St,,bicycle_rental,bicycle_rental,,19.0,,38.8127188,-77.0617173
n6285398201,Potomac Ave and Main Line Blvd,,bicycle_rental,bicycle_rental,,19.0,,38.8227458,-77.0492673
n6285398203,Royal and Wilkes St,,bicycle_rental,bicycle_rental,,14.0,,38.7992748,-77.0447023
n6285398225,Army Navy Dr and S Nash St,,bicycle_rental,bicycle_rental,,10.0,,38.8623448,-77.0682394
n6285398226,Wilson Blvd and N Illinois St,,bicycle_rental,bicycle_rental,,13.0,,38.8765327,-77.1271337
